A/C,OT,UT,RH_O,NORMAL,UT_O,RH,RH_UT
kovaikai MR,0.384615385,0.153846154,0,0.153846154,0.076923077,0.230769231,0
kothavarai HR,0.5,0.5,0,0,0,0,0
kothavarai KR,0.190317195,0.235392321,0.093489149,0.088480801,0.061769616,0.245409015,0.085141903
kothavarai NR,0.16091954,0.344827586,0.068965517,0.091954023,0.126436782,0.149425287,0.057471264
kothavarai LR,0.296296296,0.222222222,0.111111111,0.037037037,0.111111111,0.185185185,0.037037037
kothavarai MR,0,0.428571429,0.142857143,0,0.142857143,0.142857143,0.142857143
Lfinger HR,0.5,0.166666667,0,0.333333333,0,0,0
Lfinger KR,0.185714286,0.25,0.092857143,0.096428571,0.064285714,0.232142857,0.078571429
Lfinger NR,0.176,0.288,0.088,0.04,0.112,0.216,0.08
Lfinger LR,0.296296296,0.111111111,0.111111111,0.037037037,0.037037037,0.259259259,0.148148148
Lfinger MR,0.25,0.375,0,0,0.125,0.25,0
malli HR,0,0,0,0.5,0.25,0.25,0
malli KR,0.197204969,0.24378882,0.086956522,0.080745342,0.074534161,0.236024845,0.080745342
malli NR,0.166666667,0.363636364,0.136363636,0.045454545,0.045454545,0.196969697,0.045454545
malli LR,0.090909091,0.181818182,0.090909091,0.454545455,0,0,0.181818182
malli MR,0,0,0,0,0,0,1
mango HR,0,0.375,0.375,0,0.125,0.125,0
mango KR,0.169811321,0.094339623,0,0.603773585,0,0.075471698,0.056603774
mango NR,0.203454894,0.249520154,0.09596929,0.047984645,0.074856046,0.255278311,0.07293666
mango LR,0.161904762,0.304761905,0.066666667,0.038095238,0.095238095,0.219047619,0.114285714
mango MR,0.179487179,0.333333333,0.153846154,0.025641026,0.051282051,0.128205128,0.128205128
mushroom HR,0,0.666666667,0,0,0,0.333333333,0
mushroom KR,0.189189189,0.249480249,0.095634096,0.091476091,0.076923077,0.232848233,0.064449064
mushroom NR,0.208121827,0.228426396,0.096446701,0.065989848,0.065989848,0.228426396,0.106598985
mushroom LR,0.090909091,0.303030303,0.03030303,0.151515152,0.03030303,0.212121212,0.181818182
mushroom MR,0.333333333,0.5,0,0,0.083333333,0.083333333,0
nuckol HR,0.166666667,0,0.5,0,0,0.166666667,0.166666667
nuckol KR,0.217889908,0.236238532,0.084862385,0.107798165,0.066513761,0.217889908,0.068807339
nuckol NR,0.156682028,0.253456221,0.092165899,0.050691244,0.092165899,0.271889401,0.082949309
nuckol LR,0.090909091,0.386363636,0.090909091,0.068181818,0.068181818,0.204545455,0.090909091
nuckol MR,0.217391304,0.347826087,0.086956522,0.043478261,0,0.086956522,0.217391304
onion HR,0.8,0.2,0,0,0,0,0
onion KR,0.185248714,0.259005146,0.090909091,0.102915952,0.072041166,0.217838765,0.072041166
onion NR,0.189189189,0.225225225,0.117117117,0.018018018,0.072072072,0.252252252,0.126126126
onion LR,0.294117647,0.235294118,0,0,0.058823529,0.352941176,0.058823529
onion MR,0.1,0.2,0,0,0.1,0.5,0.1
peas HR,0.133333333,0.2,0.133333333,0.133333333,0.133333333,0.2,0.066666667
peas KR,0.186046512,0.209302326,0.054263566,0.310077519,0.062015504,0.11627907,0.062015504
peas NR,0.198275862,0.239224138,0.094827586,0.034482759,0.077586207,0.278017241,0.077586207
peas LR,0.202247191,0.348314607,0.101123596,0.033707865,0.033707865,0.157303371,0.123595506
peas MR,0.103448276,0.379310345,0.137931034,0.034482759,0.103448276,0.172413793,0.068965517
potroot HR,0,0.5,0,0,0,0,0.5
potroot KR,0.195041322,0.249586777,0.090909091,0.094214876,0.067768595,0.231404959,0.07107438
potroot NR,0.202247191,0.258426966,0.08988764,0.056179775,0.08988764,0.213483146,0.08988764
potroot LR,0.12,0.24,0.12,0,0.12,0.24,0.16
potroot MR,0,0.4,0,0,0,0.2,0.4
paneer HR,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0.166666667
paneer KR,0.17979798,0.242424242,0.088888889,0.098989899,0.070707071,0.242424242,0.076767677
paneer NR,0.238372093,0.273255814,0.098837209,0.040697674,0.075581395,0.197674419,0.075581395
paneer LR,0.111111111,0.333333333,0.083333333,0.111111111,0.055555556,0.222222222,0.083333333
paneer MR,0.235294118,0.176470588,0.058823529,0.117647059,0.058823529,0.176470588,0.176470588
potato HR,0,0.75,0.25,0,0,0,0
potato KR,0.181303116,0.243626062,0.087818697,0.121813031,0.053824363,0.23796034,0.073654391
potato NR,0.207482993,0.24829932,0.085034014,0.06122449,0.095238095,0.217687075,0.085034014
potato LR,0.145833333,0.3125,0.145833333,0.020833333,0.083333333,0.229166667,0.0625
potato MR,0.259259259,0.222222222,0.074074074,0,0.037037037,0.259259259,0.148148148
pumkin HR,0.125,0.375,0.125,0,0,0.375,0
pumkin KR,0.131147541,0.081967213,0.081967213,0.508196721,0.016393443,0.114754098,0.06557377
pumkin NR,0.20458891,0.250478011,0.09751434,0.053537285,0.07456979,0.242829828,0.076481836
pumkin LR,0.206185567,0.381443299,0.06185567,0.010309278,0.051546392,0.226804124,0.06185567
pumkin MR,0.081081081,0.189189189,0.081081081,0.054054054,0.189189189,0.189189189,0.216216216
pudina LR,0,0.2,0,0,0.4,0.2,0.2
pudina KR,0.191887676,0.244929797,0.092043682,0.092043682,0.070202808,0.232449298,0.076443058
pudina NR,0.2,0.3125,0.0875,0.0375,0.0625,0.2,0.1
radish HR,0.5,0.5,0,0,0,0,0
radish KR,0.191553544,0.245852187,0.093514329,0.088989442,0.070889894,0.233785822,0.075414781
radish NR,0.188679245,0.301886792,0.075471698,0.056603774,0.075471698,0.188679245,0.113207547
radish LR,0,0.6,0,0,0,0.2,0.2
radish MR,0.333333333,0,0,0,0.333333333,0,0.333333333
tomato HR,0.4,0.2,0,0,0.2,0.2,0
tomato KR,0.192719486,0.244111349,0.08137045,0.102783726,0.059957173,0.233404711,0.085653105
tomato NR,0.206703911,0.240223464,0.100558659,0.067039106,0.072625698,0.245810056,0.067039106
tomato LR,0.094339623,0.320754717,0.150943396,0.018867925,0.169811321,0.150943396,0.094339623
tomato MR,0.227272727,0.363636364,0.090909091,0.045454545,0.045454545,0.181818182,0.045454545
tondaikai HR,0.181818182,0.363636364,0.121212121,0.060606061,0.03030303,0.151515152,0.090909091
tondaikai KR,0.078947368,0.026315789,0,0.789473684,0,0.078947368,0.026315789
tondaikai NR,0.2,0.228571429,0.103571429,0.039285714,0.089285714,0.275,0.064285714
tondaikai LR,0.207792208,0.303030303,0.077922078,0.038961039,0.090909091,0.19047619,0.090909091
tondaikai MR,0.180555556,0.25,0.104166667,0.069444444,0.034722222,0.256944444,0.104166667
vazpooThandu HR,0.095238095,0.476190476,0.095238095,0.047619048,0,0.238095238,0.047619048
vazpooThandu KR,0.183486239,0.211009174,0.096330275,0.201834862,0.050458716,0.224770642,0.032110092
vazpooThandu NR,0.242063492,0.25,0.095238095,0.035714286,0.079365079,0.206349206,0.091269841
vazpooThandu LR,0.132450331,0.284768212,0.079470199,0.039735099,0.052980132,0.284768212,0.125827815
vazpooThandu MR,0.19047619,0.25,0.083333333,0.023809524,0.154761905,0.202380952,0.095238095
yams HR,0.0625,0.3125,0.1875,0,0.125,0.125,0.1875
yams KR,0.139534884,0.046511628,0,0.697674419,0,0.093023256,0.023255814
yams NR,0.217054264,0.257751938,0.091085271,0.040697674,0.073643411,0.234496124,0.085271318
yams LR,0.11827957,0.322580645,0.086021505,0.086021505,0.075268817,0.258064516,0.053763441
yams MR,0.155172414,0.224137931,0.137931034,0.051724138,0.086206897,0.25862069,0.086206897
gram HR,0.153846154,0.307692308,0.153846154,0,0.076923077,0.230769231,0.076923077
gram KR,0.194444444,0.25462963,0.069444444,0.194444444,0.041666667,0.175925926,0.069444444
gram NR,0.208226221,0.23907455,0.102827763,0.038560411,0.074550129,0.244215938,0.092544987
gram LR,0.1125,0.2875,0.0875,0.0375,0.125,0.3,0.05
gram MR,0.178571429,0.285714286,0.071428571,0.071428571,0.107142857,0.214285714,0.071428571
channa LR,0.333333333,0.222222222,0,0,0,0.333333333,0.111111111
channa KR,0.183144246,0.246353323,0.094003241,0.094003241,0.069692058,0.228525122,0.084278768
channa MR,0,0,0,0,0,0.333333333,0.666666667
channa NR,0.237113402,0.298969072,0.082474227,0.041237113,0.092783505,0.216494845,0.030927835
dhal HR,0,0.5,0,0,0,0.5,0
dhal KR,0.174397032,0.248608534,0.100185529,0.100185529,0.072356215,0.222634508,0.081632653
dhal NR,0.218543046,0.231788079,0.072847682,0.052980132,0.072847682,0.278145695,0.072847682
dhal LR,0.3,0.35,0.05,0,0.1,0.1,0.1
dhal MR,0.428571429,0.428571429,0,0,0,0.071428571,0.071428571
maida LR,0,0.166666667,0.166666667,0,0,0.666666667,0
maida KR,0.205169628,0.232633279,0.092084006,0.096930533,0.0726979,0.227786753,0.0726979
maida NR,0.118811881,0.376237624,0.079207921,0.01980198,0.069306931,0.207920792,0.128712871
oats HR,0.315789474,0.421052632,0.052631579,0.052631579,0,0.105263158,0.052631579
oats KR,0.134615385,0.211538462,0.096153846,0.317307692,0.038461538,0.153846154,0.048076923
oats NR,0.211864407,0.235169492,0.097457627,0.050847458,0.078389831,0.243644068,0.082627119
oats LR,0.154639175,0.309278351,0.06185567,0.041237113,0.103092784,0.257731959,0.072164948
oats MR,0.117647059,0.352941176,0.088235294,0,0.029411765,0.235294118,0.176470588
ragi HR,0,0.833333333,0,0,0,0.166666667,0
ragi KR,0.194029851,0.194029851,0.059701493,0.199004975,0.059701493,0.218905473,0.074626866
ragi NR,0.197916667,0.2734375,0.114583333,0.046875,0.072916667,0.216145833,0.078125
ragi LR,0.209302326,0.209302326,0.081395349,0.046511628,0.069767442,0.302325581,0.081395349
ragi MR,0.12244898,0.326530612,0.06122449,0,0.12244898,0.244897959,0.12244898
rice HR,0.333333333,0.333333333,0,0,0,0.333333333,0
rice KR,0.162318841,0.185507246,0.092753623,0.139130435,0.04057971,0.27826087,0.101449275
rice NR,0.189090909,0.298181818,0.109090909,0.04,0.101818182,0.2,0.061818182
rice LR,0.25,0.361111111,0.027777778,0.041666667,0.097222222,0.166666667,0.055555556
rice MR,0.387096774,0.322580645,0.064516129,0,0.096774194,0.064516129,0.064516129
wheat HR,0.375,0.5,0,0,0,0.125,0
wheat KR,0.182561308,0.242506812,0.081743869,0.119891008,0.059945504,0.223433243,0.089918256
wheat NR,0.186046512,0.23255814,0.120155039,0.062015504,0.081395349,0.259689922,0.058139535
wheat LR,0.278688525,0.262295082,0.049180328,0.032786885,0.098360656,0.163934426,0.114754098
wheat MR,0.125,0.4375,0.0625,0,0.09375,0.1875,0.09375
coconut HR,0.25,0.5,0,0,0,0.25,0
coconut KR,0.175487465,0.236768802,0.094707521,0.136490251,0.066852368,0.203342618,0.086350975
coconut NR,0.192857143,0.264285714,0.075,0.039285714,0.082142857,0.264285714,0.082142857
coconut LR,0.215686275,0.215686275,0.156862745,0.019607843,0.039215686,0.294117647,0.058823529
coconut MR,0.3125,0.34375,0.09375,0.03125,0.09375,0.09375,0.03125
oil LR,0.2,0.2,0,0,0,0.2,0.4
oil KR,0.195121951,0.25152439,0.089939024,0.092987805,0.06554878,0.236280488,0.068597561
oil MR,0.25,0,0,0,0.5,0.25,0
oil NR,0.147540984,0.278688525,0.114754098,0.016393443,0.114754098,0.147540984,0.180327869
garlic HR,0.153846154,0.461538462,0.076923077,0,0,0.307692308,0
garlic KR,0.151079137,0.179856115,0.057553957,0.244604317,0.057553957,0.230215827,0.079136691
garlic NR,0.18313253,0.25060241,0.103614458,0.060240964,0.079518072,0.248192771,0.074698795
garlic LR,0.231481481,0.324074074,0.055555556,0.027777778,0.055555556,0.185185185,0.12037037
garlic MR,0.294117647,0.254901961,0.156862745,0,0.098039216,0.137254902,0.058823529
ginger HR,0,0.333333333,0.333333333,0,0,0,0.333333333
ginger KR,0.184415584,0.251948052,0.098701299,0.124675325,0.062337662,0.205194805,0.072727273
ginger NR,0.200803213,0.240963855,0.084337349,0.048192771,0.080321285,0.265060241,0.080321285
ginger LR,0.232142857,0.25,0.071428571,0,0.071428571,0.267857143,0.107142857
ginger MR,0.151515152,0.333333333,0.060606061,0.060606061,0.121212121,0.181818182,0.090909091
pepper HR,0,0.5,0,0,0,0.5,0
pepper KR,0.195970696,0.249084249,0.087912088,0.106227106,0.065934066,0.228937729,0.065934066
pepper NR,0.179487179,0.25,0.08974359,0.025641026,0.083333333,0.237179487,0.134615385
pepper LR,0.235294118,0.294117647,0.176470588,0,0.117647059,0.117647059,0.058823529
pepper MR,0,0.333333333,0.333333333,0,0.333333333,0,0
tamarind HR,0.666666667,0,0,0,0,0.333333333,0
tamarind KR,0.189473684,0.249122807,0.085964912,0.103508772,0.064912281,0.229824561,0.077192982
tamarind NR,0.183206107,0.236641221,0.122137405,0.022900763,0.106870229,0.229007634,0.099236641
tamarind LR,0.142857143,0.571428571,0,0,0.071428571,0.142857143,0.071428571
tamarind MR,0.375,0.25,0.125,0,0,0.25,0
aginomoto LR,0.4,0.1,0.1,0.1,0.2,0,0.1
aginomoto KR,0.199685535,0.246855346,0.091194969,0.089622642,0.066037736,0.229559748,0.077044025
aginomoto MR,0.6,0,0,0,0.2,0.2,0
aginomoto NR,0.066666667,0.333333333,0.093333333,0.053333333,0.093333333,0.253333333,0.106666667
spices LR,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,0
spices KR,0.201877934,0.244131455,0.090766823,0.089201878,0.0657277,0.231611894,0.076682316
spices MR,0.25,0.25,0,0,0.25,0.25,0
spices NR,0.078947368,0.328947368,0.092105263,0.052631579,0.105263158,0.223684211,0.118421053
coco HR,0.147058824,0.264705882,0.176470588,0.029411765,0.088235294,0.176470588,0.117647059
coco KR,0.2,0.104347826,0.139130435,0.286956522,0.017391304,0.217391304,0.034782609
coco NR,0.265822785,0.202531646,0.050632911,0.050632911,0.088607595,0.240506329,0.101265823
coco LR,0.190104167,0.2578125,0.0859375,0.057291667,0.0859375,0.255208333,0.067708333
coco MR,0.149122807,0.412280702,0.061403509,0.01754386,0.061403509,0.157894737,0.140350877
horlicks HR,0.105263158,0.368421053,0.105263158,0.052631579,0.105263158,0.263157895,0
horlicks KR,0.176056338,0.11971831,0.11971831,0.253521127,0.021126761,0.267605634,0.042253521
horlicks NR,0.239130435,0.239130435,0.076086957,0.032608696,0.086956522,0.22826087,0.097826087
horlicks LR,0.203084833,0.285347044,0.079691517,0.05655527,0.074550129,0.223650386,0.077120823
horlicks MR,0.130952381,0.30952381,0.107142857,0,0.119047619,0.178571429,0.154761905
boost HR,0,1,0,0,0,0,0
boost KR,0.19109462,0.226345083,0.085343228,0.102040816,0.066790353,0.233766234,0.094619666
boost NR,0.190909091,0.327272727,0.1,0.045454545,0.081818182,0.227272727,0.027272727
boost LR,0.19047619,0.317460317,0.142857143,0.015873016,0.079365079,0.19047619,0.063492063
boost MR,0.25,0.25,0,0.083333333,0.166666667,0.25,0
nuts HR,0.117647059,0.323529412,0.088235294,0.029411765,0,0.294117647,0.147058824
nuts KR,0.161111111,0.188888889,0.061111111,0.205555556,0.083333333,0.227777778,0.072222222
nuts NR,0.214285714,0.257936508,0.091269841,0.055555556,0.075396825,0.242063492,0.063492063
nuts LR,0.195266272,0.337278107,0.100591716,0.047337278,0.082840237,0.165680473,0.071005917
nuts MR,0.208791209,0.175824176,0.131868132,0.021978022,0.043956044,0.285714286,0.131868132
runningnose NO,0.257261411,0.377593361,0.024896266,0.124481328,0.107883817,0.082987552,0.024896266
runningnose YES,0.06147541,0.004098361,0.221311475,0.008196721,0,0.516393443,0.18852459
sneeze NO,0.258064516,0.391397849,0.019354839,0.133333333,0.111827957,0.066666667,0.019354839
sneeze YES,0.072796935,0.003831418,0.218390805,0,0,0.517241379,0.187739464
cough NO,0.222021661,0.33032491,0.045126354,0.111913357,0.090252708,0.157039711,0.0433213
cough YES,0.093023256,0,0.238372093,0,0.011627907,0.459302326,0.197674419
wheezeBlocks NO,0.212765957,0.352030948,0.048355899,0.119922631,0.096711799,0.141199226,0.02901354
wheezeBlocks YES,0.138755981,0.004784689,0.196172249,0,0.009569378,0.444976077,0.205741627
headache NO,0.222033898,0.308474576,0.042372881,0.105084746,0.086440678,0.198305085,0.037288136
headache YES,0.058823529,0.007352941,0.301470588,0,0.007352941,0.360294118,0.264705882
itching NO,0.150837989,0.016759777,0.17877095,0.173184358,0.005586592,0.463687151,0.011173184
itching YES,0.230978261,0.480978261,0.005434783,0,0.135869565,0,0.14673913
swelling NO,0.197207679,0.190226876,0.115183246,0.108202443,0.061082024,0.289703316,0.038394415
swelling YES,0.169934641,0.483660131,0,0,0.111111111,0,0.235294118
redrashes NO,0.196046129,0.220757825,0.108731466,0.10214168,0.059308072,0.273476112,0.039538715
redrashes YES,0.168067227,0.411764706,0,0,0.134453782,0,0.285714286
FHistory G2,0.132075472,0.260377358,0.124528302,0.056603774,0.060377358,0.290566038,0.075471698
FHistory G5,0.068181818,0.363636364,0.045454545,0.159090909,0.068181818,0.227272727,0.068181818
FHistory G3,0.194915254,0.271186441,0.072033898,0.088983051,0.097457627,0.169491525,0.105932203
FHistory NO,1,0,0,0,0,0,0
FHistory G1,0.240963855,0.156626506,0.096385542,0.108433735,0.072289157,0.265060241,0.060240964
FHistory G4,0.350515464,0.216494845,0.06185567,0.103092784,0.041237113,0.175257732,0.051546392
Age F,0.197943445,0.280205656,0.102827763,0.079691517,0.06940874,0.174807198,0.095115681
Age M,0.183976261,0.21958457,0.077151335,0.091988131,0.074183976,0.290801187,0.06231454
Sex NO,0.138613861,0.257425743,0,0.204620462,0.069306931,0.303630363,0.02640264
Sex YES,0.229314421,0.24822695,0.156028369,0,0.073286052,0.174940898,0.11820331
